,STORUNST,FROR_CD,FRTP_CD,KOFTR_GROU,DMCLS_CD,AGCLS_CD,DNST_CD,HEIGHT,LDMARK_STN,ADM_DR_CD,ADM_DR_NM,landslide
0,0,0,0,91,,,,,J00091,3701133.0,장기면,True
1,0,0,0,91,,,,,J00091,3701133.0,장기면,True
2,0,0,0,91,,,,,J00091,,,False
3,0,0,0,91,,,,,J00091,3701131.0,대송면,True
4,0,0,0,91,,,,,J00091,3701111.0,구룡포읍,False
5,0,0,0,91,,,,,J00091,3701111.0,구룡포읍,False
6,0,0,0,91,,,,,J00091,3701132.0,동해면,True
7,0,0,0,91,,,,,J00091,3701113.0,오천읍,False
8,0,0,0,91,,,,,J00091,3701113.0,오천읍,False
9,0,0,0,91,,,,,J00091,3701133.0,장기면,True
10,0,0,0,91,,,,,J00091,3701111.0,구룡포읍,False
11,0,0,0,91,,,,,J00091,3701158.0,효곡동,False
12,0,0,0,91,,,,,J00091,3701113.0,오천읍,False
13,0,0,0,92,,,,,J00092,3701113.0,오천읍,False
14,0,0,0,92,,,,,J00092,3701133.0,장기면,True
15,0,0,0,92,,,,,J00092,3701133.0,장기면,True
16,0,0,0,93,,,,,J00093,3701113.0,오천읍,False
17,0,0,0,93,,,,,J00093,3701133.0,장기면,True
18,0,0,0,93,,,,,J00093,3701113.0,오천읍,False
19,0,0,0,93,,,,,J00093,3701133.0,장기면,True
20,0,0,0,93,,,,,J00093,3701133.0,장기면,True
21,0,0,0,93,,,,,J00093,3701133.0,장기면,True
22,0,0,0,93,,,,,J00093,3701133.0,장기면,True
23,0,0,0,93,,,,,J00093,3701133.0,장기면,True
24,0,0,0,93,,,,,J00093,3701133.0,장기면,True
25,0,0,0,93,,,,,J00093,3701133.0,장기면,True
26,0,0,0,93,,,,,J00093,3701133.0,장기면,True
27,0,0,0,93,,,,,J00093,3701133.0,장기면,True
28,0,0,0,93,,,,,J00093,3701133.0,장기면,True
29,0,0,0,93,,,,,J00093,3701113.0,오천읍,False
30,0,0,0,93,,,,,J00093,3701133.0,장기면,True
31,0,0,0,93,,,,,J00093,3701113.0,오천읍,False
32,0,0,0,93,,,,,J00093,3701113.0,오천읍,False
33,0,0,0,93,,,,,J00093,3701113.0,오천읍,False
34,0,0,0,93,,,,,J00093,3701113.0,오천읍,False
35,0,0,0,93,,,,,J00093,3701131.0,대송면,True
36,0,0,0,93,,,,,J00093,3701113.0,오천읍,False
37,0,0,0,93,,,,,J00093,3701113.0,오천읍,False
38,0,0,0,93,,,,,J00093,3701133.0,장기면,True
39,0,0,0,93,,,,,J00093,3701133.0,장기면,True
40,0,0,0,93,,,,,J00093,3701133.0,장기면,True
41,0,0,0,93,,,,,J00093,3701133.0,장기면,True
42,0,0,0,93,,,,,J00093,3701133.0,장기면,True
43,0,0,0,93,,,,,J00093,3701133.0,장기면,True
44,0,0,0,93,,,,,J00093,3701133.0,장기면,True
45,0,0,0,93,,,,,J00093,3701133.0,장기면,True
46,0,0,0,93,,,,,J00093,3701131.0,대송면,True
47,0,0,0,93,,,,,J00093,3701112.0,연일읍,True
48,0,0,0,93,,,,,J00093,3701132.0,동해면,True
49,0,0,0,93,,,,,J00093,3701113.0,오천읍,False
50,0,0,0,93,,,,,J00093,3701132.0,동해면,True
51,0,0,0,93,,,,,J00093,,,False
52,0,0,0,93,,,,,J00093,3701112.0,연일읍,True
53,0,0,0,93,,,,,J00093,3701113.0,오천읍,False
54,0,0,0,93,,,,,J00093,3701132.0,동해면,True
55,0,0,0,93,,,,,J00093,3701112.0,연일읍,True
56,0,0,0,93,,,,,J00093,3701157.0,제철동,True
57,0,0,0,93,,,,,J00093,3701111.0,구룡포읍,False
58,0,0,0,93,,,,,J00093,3701112.0,연일읍,True
59,0,0,0,93,,,,,J00093,3701132.0,동해면,True
60,0,0,0,93,,,,,J00093,3701112.0,연일읍,True
61,0,0,0,93,,,,,J00093,3701112.0,연일읍,True
62,0,0,0,93,,,,,J00093,3701159.0,대이동,False
